PID,DATE,TIME,ELAPSED,CPU,MEM,RSS,VSIZE,CMD
84653,2022-10-18,16:44:33,00:03,0.0,0.0,1508,34264704,sh /Library/Frameworks/R.framework/Versions/4.2/Resources/bin/Rcmd BATCH --vanilla multithreaded.R
84657,2022-10-18,16:44:33,00:03,100.0,0.3,377148,35414720,/Library/Frameworks/R.framework/Versions/4.2/Resources/bin/exec/R -f multithreaded.R --restore --save --no-readline --vanilla
84653,2022-10-18,16:44:35,00:04,0.0,0.0,1508,34264704,sh /Library/Frameworks/R.framework/Versions/4.2/Resources/bin/Rcmd BATCH --vanilla multithreaded.R
84657,2022-10-18,16:44:35,00:04,100.0,0.3,377472,35414720,/Library/Frameworks/R.framework/Versions/4.2/Resources/bin/exec/R -f multithreaded.R --restore --save --no-readline --vanilla
84653,2022-10-18,16:44:36,00:05,0.0,0.0,1508,34264704,sh /Library/Frameworks/R.framework/Versions/4.2/Resources/bin/Rcmd BATCH --vanilla multithreaded.R
84657,2022-10-18,16:44:36,00:05,100.0,0.3,420312,35582072,/Library/Frameworks/R.framework/Versions/4.2/Resources/bin/exec/R -f multithreaded.R --restore --save --no-readline --vanilla
84683,2022-10-18,16:44:36,00:00,0.0,0.0,1336,34263680,sh -c '/usr/bin/java' -version 2>&1
84684,2022-10-18,16:44:36,00:00,0.0,0.0,248,33589048,(java)
84653,2022-10-18,16:44:37,00:06,0.0,0.0,1508,34264704,sh /Library/Frameworks/R.framework/Versions/4.2/Resources/bin/Rcmd BATCH --vanilla multithreaded.R
84657,2022-10-18,16:44:37,00:06,1.6,0.3,420356,35582072,/Library/Frameworks/R.framework/Versions/4.2/Resources/bin/exec/R -f multithreaded.R --restore --save --no-readline --vanilla
84689,2022-10-18,16:44:37,00:01,55.3,0.1,93952,69529884,/usr/bin/java -ea -jar /Library/Frameworks/R.framework/Versions/4.2/Resources/library/h2o/java/h2o.jar -name H2O_started_from_R_max_zji494 -ip localhost -web_ip localhost -port 54321 -ice_root /var/folders/x4/plnpn9kj5cx366k_3np3tc3w0000gn/T//RtmpakTKim -allow_unsupported_java
84653,2022-10-18,16:44:38,00:07,0.0,0.0,1508,34264704,sh /Library/Frameworks/R.framework/Versions/4.2/Resources/bin/Rcmd BATCH --vanilla multithreaded.R
84657,2022-10-18,16:44:38,00:07,0.0,0.3,420360,35582072,/Library/Frameworks/R.framework/Versions/4.2/Resources/bin/exec/R -f multithreaded.R --restore --save --no-readline --vanilla
84689,2022-10-18,16:44:38,00:02,1.0,0.1,93976,69529884,/usr/bin/java -ea -jar /Library/Frameworks/R.framework/Versions/4.2/Resources/library/h2o/java/h2o.jar -name H2O_started_from_R_max_zji494 -ip localhost -web_ip localhost -port 54321 -ice_root /var/folders/x4/plnpn9kj5cx366k_3np3tc3w0000gn/T//RtmpakTKim -allow_unsupported_java
84653,2022-10-18,16:44:39,00:08,0.0,0.0,1508,34264704,sh /Library/Frameworks/R.framework/Versions/4.2/Resources/bin/Rcmd BATCH --vanilla multithreaded.R
84657,2022-10-18,16:44:39,00:08,0.6,0.3,420360,35582072,/Library/Frameworks/R.framework/Versions/4.2/Resources/bin/exec/R -f multithreaded.R --restore --save --no-readline --vanilla
84689,2022-10-18,16:44:39,00:03,0.2,0.1,93992,69529884,/usr/bin/java -ea -jar /Library/Frameworks/R.framework/Versions/4.2/Resources/library/h2o/java/h2o.jar -name H2O_started_from_R_max_zji494 -ip localhost -web_ip localhost -port 54321 -ice_root /var/folders/x4/plnpn9kj5cx366k_3np3tc3w0000gn/T//RtmpakTKim -allow_unsupported_java
84653,2022-10-18,16:44:40,00:09,0.0,0.0,1508,34264704,sh /Library/Frameworks/R.framework/Versions/4.2/Resources/bin/Rcmd BATCH --vanilla multithreaded.R
84657,2022-10-18,16:44:40,00:09,0.4,0.3,420360,35582072,/Library/Frameworks/R.framework/Versions/4.2/Resources/bin/exec/R -f multithreaded.R --restore --save --no-readline --vanilla
84689,2022-10-18,16:44:40,00:04,0.0,0.1,93992,69529884,/usr/bin/java -ea -jar /Library/Frameworks/R.framework/Versions/4.2/Resources/library/h2o/java/h2o.jar -name H2O_started_from_R_max_zji494 -ip localhost -web_ip localhost -port 54321 -ice_root /var/folders/x4/plnpn9kj5cx366k_3np3tc3w0000gn/T//RtmpakTKim -allow_unsupported_java
84653,2022-10-18,16:44:41,00:10,0.0,0.0,1508,34264704,sh /Library/Frameworks/R.framework/Versions/4.2/Resources/bin/Rcmd BATCH --vanilla multithreaded.R
84657,2022-10-18,16:44:41,00:10,0.4,0.3,420352,35581548,/Library/Frameworks/R.framework/Versions/4.2/Resources/bin/exec/R -f multithreaded.R --restore --save --no-readline --vanilla
84689,2022-10-18,16:44:41,00:05,0.0,0.1,93992,69529360,/usr/bin/java -ea -jar /Library/Frameworks/R.framework/Versions/4.2/Resources/library/h2o/java/h2o.jar -name H2O_started_from_R_max_zji494 -ip localhost -web_ip localhost -port 54321 -ice_root /var/folders/x4/plnpn9kj5cx366k_3np3tc3w0000gn/T//RtmpakTKim -allow_unsupported_java
84653,2022-10-18,16:44:42,00:11,0.0,0.0,1508,34264704,sh /Library/Frameworks/R.framework/Versions/4.2/Resources/bin/Rcmd BATCH --vanilla multithreaded.R
84657,2022-10-18,16:44:42,00:11,0.2,0.3,420352,35581548,/Library/Frameworks/R.framework/Versions/4.2/Resources/bin/exec/R -f multithreaded.R --restore --save --no-readline --vanilla
84689,2022-10-18,16:44:42,00:06,0.0,0.1,93992,69529360,/usr/bin/java -ea -jar /Library/Frameworks/R.framework/Versions/4.2/Resources/library/h2o/java/h2o.jar -name H2O_started_from_R_max_zji494 -ip localhost -web_ip localhost -port 54321 -ice_root /var/folders/x4/plnpn9kj5cx366k_3np3tc3w0000gn/T//RtmpakTKim -allow_unsupported_java
84653,2022-10-18,16:44:43,00:12,0.0,0.0,1508,34264704,sh /Library/Frameworks/R.framework/Versions/4.2/Resources/bin/Rcmd BATCH --vanilla multithreaded.R
84657,2022-10-18,16:44:43,00:12,0.1,0.3,420352,35581548,/Library/Frameworks/R.framework/Versions/4.2/Resources/bin/exec/R -f multithreaded.R --restore --save --no-readline --vanilla
84689,2022-10-18,16:44:43,00:07,0.0,0.1,93992,69529360,/usr/bin/java -ea -jar /Library/Frameworks/R.framework/Versions/4.2/Resources/library/h2o/java/h2o.jar -name H2O_started_from_R_max_zji494 -ip localhost -web_ip localhost -port 54321 -ice_root /var/folders/x4/plnpn9kj5cx366k_3np3tc3w0000gn/T//RtmpakTKim -allow_unsupported_java
84653,2022-10-18,16:44:44,00:13,0.0,0.0,1508,34264704,sh /Library/Frameworks/R.framework/Versions/4.2/Resources/bin/Rcmd BATCH --vanilla multithreaded.R
84657,2022-10-18,16:44:44,00:13,0.1,0.3,420352,35581548,/Library/Frameworks/R.framework/Versions/4.2/Resources/bin/exec/R -f multithreaded.R --restore --save --no-readline --vanilla
84689,2022-10-18,16:44:44,00:08,0.0,0.1,93996,69529360,/usr/bin/java -ea -jar /Library/Frameworks/R.framework/Versions/4.2/Resources/library/h2o/java/h2o.jar -name H2O_started_from_R_max_zji494 -ip localhost -web_ip localhost -port 54321 -ice_root /var/folders/x4/plnpn9kj5cx366k_3np3tc3w0000gn/T//RtmpakTKim -allow_unsupported_java
84653,2022-10-18,16:44:45,00:15,0.0,0.0,1508,34264704,sh /Library/Frameworks/R.framework/Versions/4.2/Resources/bin/Rcmd BATCH --vanilla multithreaded.R
84657,2022-10-18,16:44:45,00:15,0.0,0.3,420352,35581548,/Library/Frameworks/R.framework/Versions/4.2/Resources/bin/exec/R -f multithreaded.R --restore --save --no-readline --vanilla
84689,2022-10-18,16:44:45,00:10,0.0,0.1,93996,69529360,/usr/bin/java -ea -jar /Library/Frameworks/R.framework/Versions/4.2/Resources/library/h2o/java/h2o.jar -name H2O_started_from_R_max_zji494 -ip localhost -web_ip localhost -port 54321 -ice_root /var/folders/x4/plnpn9kj5cx366k_3np3tc3w0000gn/T//RtmpakTKim -allow_unsupported_java
84653,2022-10-18,16:44:47,00:16,0.0,0.0,1508,34264704,sh /Library/Frameworks/R.framework/Versions/4.2/Resources/bin/Rcmd BATCH --vanilla multithreaded.R
84657,2022-10-18,16:44:47,00:16,0.0,0.3,420352,35581548,/Library/Frameworks/R.framework/Versions/4.2/Resources/bin/exec/R -f multithreaded.R --restore --save --no-readline --vanilla
84689,2022-10-18,16:44:47,00:11,0.0,0.1,94000,69529360,/usr/bin/java -ea -jar /Library/Frameworks/R.framework/Versions/4.2/Resources/library/h2o/java/h2o.jar -name H2O_started_from_R_max_zji494 -ip localhost -web_ip localhost -port 54321 -ice_root /var/folders/x4/plnpn9kj5cx366k_3np3tc3w0000gn/T//RtmpakTKim -allow_unsupported_java
