PID,DATE,TIME,ELAPSED,CPU,MEM,RSS,VSIZE,CMD
76459,2022-10-18,15:40:23,01:04:18,0.0,0.9,1169592,71001260,/usr/bin/java -ea -jar /Library/Frameworks/R.framework/Versions/4.2/Resources/library/h2o/java/h2o.jar -name H2O_started_from_R_max_uyx950 -ip localhost -web_ip localhost -port 54321 -ice_root /var/folders/x4/plnpn9kj5cx366k_3np3tc3w0000gn/T//RtmpmrjZOY -nthreads 1 -allow_unsupported_java
76459,2022-10-18,15:40:24,01:04:19,0.0,0.9,1169592,71001260,/usr/bin/java -ea -jar /Library/Frameworks/R.framework/Versions/4.2/Resources/library/h2o/java/h2o.jar -name H2O_started_from_R_max_uyx950 -ip localhost -web_ip localhost -port 54321 -ice_root /var/folders/x4/plnpn9kj5cx366k_3np3tc3w0000gn/T//RtmpmrjZOY -nthreads 1 -allow_unsupported_java
76459,2022-10-18,15:40:25,01:04:20,0.0,0.9,1169592,71001260,/usr/bin/java -ea -jar /Library/Frameworks/R.framework/Versions/4.2/Resources/library/h2o/java/h2o.jar -name H2O_started_from_R_max_uyx950 -ip localhost -web_ip localhost -port 54321 -ice_root /var/folders/x4/plnpn9kj5cx366k_3np3tc3w0000gn/T//RtmpmrjZOY -nthreads 1 -allow_unsupported_java
78753,2022-10-18,15:40:25,00:01,0.7,0.0,1524,34272896,sh /Library/Frameworks/R.framework/Versions/4.2/Resources/bin/Rcmd BATCH --vanilla sequential.R
78757,2022-10-18,15:40:25,00:01,72.1,0.1,71020,34509316,/Library/Frameworks/R.framework/Versions/4.2/Resources/bin/exec/R -f sequential.R --restore --save --no-readline --vanilla
76459,2022-10-18,15:40:26,01:04:21,0.0,0.9,1169592,71001260,/usr/bin/java -ea -jar /Library/Frameworks/R.framework/Versions/4.2/Resources/library/h2o/java/h2o.jar -name H2O_started_from_R_max_uyx950 -ip localhost -web_ip localhost -port 54321 -ice_root /var/folders/x4/plnpn9kj5cx366k_3np3tc3w0000gn/T//RtmpmrjZOY -nthreads 1 -allow_unsupported_java
78753,2022-10-18,15:40:26,00:02,0.0,0.0,1524,34272896,sh /Library/Frameworks/R.framework/Versions/4.2/Resources/bin/Rcmd BATCH --vanilla sequential.R
78757,2022-10-18,15:40:26,00:02,100.0,0.2,235048,35302772,/Library/Frameworks/R.framework/Versions/4.2/Resources/bin/exec/R -f sequential.R --restore --save --no-readline --vanilla
76459,2022-10-18,15:40:27,01:04:22,0.0,0.9,1169592,71001260,/usr/bin/java -ea -jar /Library/Frameworks/R.framework/Versions/4.2/Resources/library/h2o/java/h2o.jar -name H2O_started_from_R_max_uyx950 -ip localhost -web_ip localhost -port 54321 -ice_root /var/folders/x4/plnpn9kj5cx366k_3np3tc3w0000gn/T//RtmpmrjZOY -nthreads 1 -allow_unsupported_java
78753,2022-10-18,15:40:27,00:03,0.0,0.0,1524,34272896,sh /Library/Frameworks/R.framework/Versions/4.2/Resources/bin/Rcmd BATCH --vanilla sequential.R
